Date.of.Sale..dd.mm.yyyy.,County,Not.Full.Market.Price,VAT.Exclusive,Description.of.Property,Property.Size.Description,County_Price
01/01/2010,Dublin,No,No,Second-Hand Dwelling house /Apartment,,"Dublin,343000"
03/01/2010,Laois,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"Laois,185000"
04/01/2010,Dublin,No,No,Second-Hand Dwelling house /Apartment,,"Dublin,438500"
04/01/2010,Meath,No,No,Second-Hand Dwelling house /Apartment,,"Meath,4e+05"
04/01/2010,Kilkenny,No,No,Second-Hand Dwelling house /Apartment,,"Kilkenny,160000"
04/01/2010,Dublin,No,No,Second-Hand Dwelling house /Apartment,,"Dublin,425000"
04/01/2010,Limerick,No,No,Second-Hand Dwelling house /Apartment,,"Limerick,172500"
04/01/2010,Carlow,No,No,Second-Hand Dwelling house /Apartment,,"Carlow,177500"
04/01/2010,Cork,No,No,Second-Hand Dwelling house /Apartment,,"Cork,180000"
04/01/2010,Clare,No,No,Second-Hand Dwelling house /Apartment,,"Clare,126500"
04/01/2010,Limerick,No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"Limerick,110000"
04/01/2010,Dublin,No,No,Second-Hand Dwelling house /Apartment,,"Dublin,430000"
04/01/2010,Dublin,No,No,Second-Hand Dwelling house /Apartment,,"Dublin,355000"
04/01/2010,Dublin,No,No,Second-Hand Dwelling house /Apartment,,"Dublin,1800000"
04/01/2010,Cork,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,"Cork,352000"
04/01/2010,Meath,No,No,Second-Hand Dwelling house /Apartment,,"Meath,273000"
04/01/2010,Dublin,No,No,Second-Hand Dwelling house /Apartment,,"Dublin,547500"
04/01/2010,Dublin,No,No,Second-Hand Dwelling house /Apartment,,"Dublin,7e+05"
04/01/2010,Sligo,No,No,Second-Hand Dwelling house /Apartment,,"Sligo,220000"
04/01/2010,Dublin,No,No,Second-Hand Dwelling house /Apartment,,"Dublin,350000"
04/01/2010,Cavan,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,"Cavan,122000"
04/01/2010,Dublin,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,"Dublin,499600"
04/01/2010,Dublin,No,No,Second-Hand Dwelling house /Apartment,,"Dublin,205000"
04/01/2010,Dublin,No,No,Second-Hand Dwelling house /Apartment,,"Dublin,337500"
04/01/2010,Tipperary,No,No,Second-Hand Dwelling house /Apartment,,"Tipperary,128000"
04/01/2010,Wicklow,No,No,Second-Hand Dwelling house /Apartment,,"Wicklow,145000"
04/01/2010,Cork,No,No,Second-Hand Dwelling house /Apartment,,"Cork,510000"
04/01/2010,Dublin,No,No,Second-Hand Dwelling house /Apartment,,"Dublin,147950"
04/01/2010,Roscommon,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,"Roscommon,215000"
04/01/2010,Wexford,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,"Wexford,255022"
04/01/2010,Mayo,No,No,Second-Hand Dwelling house /Apartment,,"Mayo,245000"
04/01/2010,Roscommon,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,"Roscommon,145000"
04/01/2010,Donegal,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,"Donegal,215000"
04/01/2010,Cork,No,No,Second-Hand Dwelling house /Apartment,,"Cork,475000"
04/01/2010,Longford,No,No,Second-Hand Dwelling house /Apartment,,"Longford,125000"
04/01/2010,Mayo,No,No,Second-Hand Dwelling house /Apartment,,"Mayo,172500"
04/01/2010,Limerick,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"Limerick,164167"
04/01/2010,Limerick,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"Limerick,164167"
04/01/2010,Limerick,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"Limerick,164167"
04/01/2010,Limerick,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"Limerick,164167"
